AirQualityStationEoICode,Concentration,DatetimeBegin
HU0023A,62.0,2013-01-01 00:00:00 +01:00
HU0023A,61.0,2013-01-02 00:00:00 +01:00
HU0023A,32.0,2013-01-03 00:00:00 +01:00
HU0023A,28.0,2013-01-04 00:00:00 +01:00
HU0023A,11.0,2013-01-05 00:00:00 +01:00
HU0023A,16.0,2013-01-06 00:00:00 +01:00
HU0023A,12.0,2013-01-07 00:00:00 +01:00
HU0023A,33.0,2013-01-08 00:00:00 +01:00
HU0023A,71.0,2013-01-09 00:00:00 +01:00
HU0023A,43.0,2013-01-10 00:00:00 +01:00
HU0023A,26.0,2013-01-11 00:00:00 +01:00
HU0023A,24.0,2013-01-12 00:00:00 +01:00
HU0023A,17.0,2013-01-13 00:00:00 +01:00
HU0023A,26.0,2013-01-14 00:00:00 +01:00
HU0023A,42.0,2013-01-15 00:00:00 +01:00
HU0023A,23.0,2013-01-16 00:00:00 +01:00
HU0023A,27.0,2013-01-17 00:00:00 +01:00
HU0023A,26.0,2013-01-18 00:00:00 +01:00
HU0023A,32.0,2013-01-19 00:00:00 +01:00
HU0023A,40.0,2013-01-20 00:00:00 +01:00
HU0023A,53.0,2013-01-21 00:00:00 +01:00
HU0023A,40.0,2013-01-22 00:00:00 +01:00
HU0023A,38.0,2013-01-23 00:00:00 +01:00
HU0023A,31.0,2013-01-24 00:00:00 +01:00
HU0023A,39.0,2013-01-25 00:00:00 +01:00
HU0023A,26.0,2013-01-26 00:00:00 +01:00
HU0023A,41.0,2013-01-27 00:00:00 +01:00
HU0023A,52.0,2013-01-28 00:00:00 +01:00
HU0023A,51.0,2013-01-29 00:00:00 +01:00
HU0023A,32.0,2013-01-30 00:00:00 +01:00
HU0023A,16.0,2013-01-31 00:00:00 +01:00
HU0023A,12.0,2013-02-01 00:00:00 +01:00
HU0023A,23.0,2013-02-02 00:00:00 +01:00
HU0023A,8.0,2013-02-03 00:00:00 +01:00
HU0023A,13.0,2013-02-04 00:00:00 +01:00
HU0023A,20.0,2013-02-05 00:00:00 +01:00
HU0023A,35.0,2013-02-06 00:00:00 +01:00
HU0023A,23.0,2013-02-07 00:00:00 +01:00
HU0023A,18.0,2013-02-08 00:00:00 +01:00
HU0023A,26.0,2013-02-09 00:00:00 +01:00
HU0023A,26.0,2013-02-10 00:00:00 +01:00
HU0023A,42.0,2013-02-11 00:00:00 +01:00
HU0023A,29.0,2013-02-12 00:00:00 +01:00
HU0023A,21.0,2013-02-13 00:00:00 +01:00
HU0023A,28.0,2013-02-14 00:00:00 +01:00
HU0023A,37.0,2013-02-15 00:00:00 +01:00
HU0023A,28.0,2013-02-16 00:00:00 +01:00
HU0023A,20.0,2013-02-17 00:00:00 +01:00
HU0023A,31.0,2013-02-18 00:00:00 +01:00
HU0023A,33.0,2013-02-19 00:00:00 +01:00
HU0023A,20.0,2013-02-20 00:00:00 +01:00
HU0023A,32.0,2013-02-21 00:00:00 +01:00
HU0023A,33.0,2013-02-22 00:00:00 +01:00
HU0023A,22.0,2013-02-23 00:00:00 +01:00
HU0023A,12.0,2013-02-24 00:00:00 +01:00
HU0023A,14.0,2013-02-25 00:00:00 +01:00
HU0023A,20.0,2013-02-26 00:00:00 +01:00
HU0023A,25.0,2013-02-27 00:00:00 +01:00
HU0023A,32.0,2013-02-28 00:00:00 +01:00
HU0023A,26.0,2013-03-01 00:00:00 +01:00
HU0023A,28.0,2013-03-02 00:00:00 +01:00
HU0023A,22.0,2013-03-03 00:00:00 +01:00
HU0023A,31.0,2013-03-04 00:00:00 +01:00
HU0023A,52.0,2013-03-05 00:00:00 +01:00
HU0023A,43.0,2013-03-06 00:00:00 +01:00
HU0023A,24.0,2013-03-07 00:00:00 +01:00
HU0023A,20.0,2013-03-08 00:00:00 +01:00
HU0023A,16.0,2013-03-09 00:00:00 +01:00
HU0023A,19.0,2013-03-10 00:00:00 +01:00
HU0023A,14.0,2013-03-11 00:00:00 +01:00
HU0023A,28.0,2013-03-12 00:00:00 +01:00
HU0023A,22.0,2013-03-13 00:00:00 +01:00
HU0023A,26.0,2013-03-14 00:00:00 +01:00
HU0023A,19.0,2013-03-15 00:00:00 +01:00
HU0023A,27.0,2013-03-16 00:00:00 +01:00
HU0023A,36.0,2013-03-17 00:00:00 +01:00
HU0023A,25.0,2013-03-18 00:00:00 +01:00
HU0023A,15.0,2013-03-19 00:00:00 +01:00
HU0023A,25.0,2013-03-20 00:00:00 +01:00
HU0023A,22.0,2013-03-21 00:00:00 +01:00
HU0023A,19.0,2013-03-22 00:00:00 +01:00
HU0023A,23.0,2013-03-23 00:00:00 +01:00
HU0023A,21.0,2013-03-24 00:00:00 +01:00
HU0023A,19.0,2013-03-25 00:00:00 +01:00
HU0023A,16.0,2013-03-26 00:00:00 +01:00
HU0023A,24.0,2013-03-27 00:00:00 +01:00
HU0023A,31.0,2013-03-28 00:00:00 +01:00
HU0023A,21.0,2013-03-29 00:00:00 +01:00
HU0023A,19.0,2013-03-30 00:00:00 +01:00
HU0023A,34.0,2013-03-31 00:00:00 +01:00
HU0023A,22.0,2013-04-01 00:00:00 +01:00
HU0023A,27.0,2013-04-02 00:00:00 +01:00
HU0023A,22.0,2013-04-03 00:00:00 +01:00
HU0023A,16.0,2013-04-04 00:00:00 +01:00
HU0023A,18.0,2013-04-05 00:00:00 +01:00
HU0023A,22.0,2013-04-06 00:00:00 +01:00
HU0023A,20.0,2013-04-07 00:00:00 +01:00
HU0023A,19.0,2013-04-08 00:00:00 +01:00
HU0023A,25.0,2013-04-09 00:00:00 +01:00
HU0023A,24.0,2013-04-10 00:00:00 +01:00
HU0023A,19.0,2013-04-11 00:00:00 +01:00
HU0023A,15.0,2013-04-12 00:00:00 +01:00
HU0023A,8.0,2013-04-13 00:00:00 +01:00
HU0023A,12.0,2013-04-14 00:00:00 +01:00
HU0023A,14.0,2013-04-15 00:00:00 +01:00
HU0023A,21.0,2013-04-16 00:00:00 +01:00
HU0023A,37.0,2013-04-17 00:00:00 +01:00
HU0023A,46.0,2013-04-18 00:00:00 +01:00
HU0023A,37.0,2013-04-19 00:00:00 +01:00
HU0023A,38.0,2013-04-20 00:00:00 +01:00
HU0023A,30.0,2013-04-21 00:00:00 +01:00
HU0023A,39.0,2013-04-22 00:00:00 +01:00
HU0023A,30.0,2013-04-23 00:00:00 +01:00
HU0023A,24.0,2013-04-24 00:00:00 +01:00
HU0023A,24.0,2013-04-25 00:00:00 +01:00
HU0023A,36.0,2013-04-26 00:00:00 +01:00
HU0023A,47.0,2013-04-27 00:00:00 +01:00
HU0023A,26.0,2013-04-28 00:00:00 +01:00
HU0023A,36.0,2013-04-29 00:00:00 +01:00
HU0023A,55.0,2013-04-30 00:00:00 +01:00
HU0023A,58.0,2013-05-01 00:00:00 +01:00
HU0023A,50.0,2013-05-02 00:00:00 +01:00
HU0023A,49.0,2013-05-03 00:00:00 +01:00
HU0023A,13.0,2013-05-04 00:00:00 +01:00
HU0023A,17.0,2013-05-05 00:00:00 +01:00
HU0023A,30.0,2013-05-06 00:00:00 +01:00
HU0023A,26.0,2013-05-07 00:00:00 +01:00
HU0023A,25.0,2013-05-08 00:00:00 +01:00
HU0023A,31.0,2013-05-09 00:00:00 +01:00
HU0023A,34.0,2013-05-10 00:00:00 +01:00
HU0023A,25.0,2013-05-11 00:00:00 +01:00
HU0023A,24.0,2013-05-12 00:00:00 +01:00
HU0023A,15.0,2013-05-13 00:00:00 +01:00
HU0023A,9.0,2013-05-14 00:00:00 +01:00
HU0023A,11.0,2013-05-15 00:00:00 +01:00
HU0023A,13.0,2013-05-16 00:00:00 +01:00
HU0023A,19.0,2013-05-17 00:00:00 +01:00
HU0023A,10.0,2013-05-18 00:00:00 +01:00
HU0023A,14.0,2013-05-19 00:00:00 +01:00
HU0023A,13.0,2013-05-20 00:00:00 +01:00
HU0023A,13.0,2013-05-21 00:00:00 +01:00
HU0023A,6.0,2013-05-22 00:00:00 +01:00
HU0023A,10.0,2013-05-23 00:00:00 +01:00
HU0023A,12.0,2013-05-24 00:00:00 +01:00
HU0023A,15.0,2013-05-25 00:00:00 +01:00
HU0023A,7.0,2013-05-26 00:00:00 +01:00
HU0023A,7.0,2013-05-27 00:00:00 +01:00
HU0023A,11.0,2013-05-28 00:00:00 +01:00
HU0023A,22.0,2013-05-29 00:00:00 +01:00
HU0023A,27.0,2013-05-30 00:00:00 +01:00
HU0023A,11.0,2013-05-31 00:00:00 +01:00
HU0023A,11.0,2013-06-01 00:00:00 +01:00
HU0023A,11.0,2013-06-02 00:00:00 +01:00
HU0023A,13.0,2013-06-03 00:00:00 +01:00
HU0023A,10.0,2013-06-04 00:00:00 +01:00
HU0023A,14.0,2013-06-05 00:00:00 +01:00
HU0023A,16.0,2013-06-06 00:00:00 +01:00
HU0023A,15.0,2013-06-07 00:00:00 +01:00
HU0023A,17.0,2013-06-08 00:00:00 +01:00
HU0023A,19.0,2013-06-09 00:00:00 +01:00
HU0023A,18.0,2013-06-10 00:00:00 +01:00
HU0023A,14.0,2013-06-11 00:00:00 +01:00
HU0023A,14.0,2013-06-12 00:00:00 +01:00
HU0023A,16.0,2013-06-13 00:00:00 +01:00
HU0023A,24.0,2013-06-14 00:00:00 +01:00
HU0023A,25.0,2013-06-15 00:00:00 +01:00
HU0023A,28.0,2013-06-17 00:00:00 +01:00
HU0023A,32.0,2013-06-18 00:00:00 +01:00
HU0023A,33.0,2013-06-19 00:00:00 +01:00
HU0023A,30.0,2013-06-20 00:00:00 +01:00
HU0023A,9.0,2013-09-18 00:00:00 +01:00
HU0023A,15.0,2013-09-19 00:00:00 +01:00
HU0023A,14.0,2013-09-20 00:00:00 +01:00
HU0023A,15.0,2013-09-21 00:00:00 +01:00
HU0023A,19.0,2013-09-22 00:00:00 +01:00
HU0023A,14.0,2013-09-23 00:00:00 +01:00
HU0023A,13.0,2013-09-24 00:00:00 +01:00
HU0023A,15.0,2013-09-25 00:00:00 +01:00
HU0023A,21.0,2013-09-26 00:00:00 +01:00
HU0023A,19.0,2013-09-27 00:00:00 +01:00
HU0023A,24.0,2013-09-28 00:00:00 +01:00
HU0023A,20.0,2013-09-29 00:00:00 +01:00
HU0023A,17.0,2013-09-30 00:00:00 +01:00
HU0023A,14.0,2013-10-01 00:00:00 +01:00
HU0023A,15.0,2013-10-02 00:00:00 +01:00
HU0023A,15.0,2013-10-03 00:00:00 +01:00
HU0023A,28.0,2013-10-04 00:00:00 +01:00
HU0023A,51.0,2013-10-05 00:00:00 +01:00
HU0023A,40.0,2013-10-06 00:00:00 +01:00
HU0023A,33.0,2013-10-07 00:00:00 +01:00
HU0023A,38.0,2013-10-08 00:00:00 +01:00
HU0023A,59.0,2013-10-09 00:00:00 +01:00
HU0023A,35.0,2013-10-10 00:00:00 +01:00
HU0023A,22.0,2013-10-11 00:00:00 +01:00
HU0023A,27.0,2013-10-12 00:00:00 +01:00
HU0023A,34.0,2013-10-13 00:00:00 +01:00
HU0023A,31.0,2013-10-14 00:00:00 +01:00
HU0023A,28.0,2013-10-15 00:00:00 +01:00
HU0023A,16.0,2013-10-16 00:00:00 +01:00
HU0023A,28.0,2013-10-17 00:00:00 +01:00
HU0023A,19.0,2013-10-18 00:00:00 +01:00
HU0023A,22.0,2013-10-19 00:00:00 +01:00
HU0023A,23.0,2013-10-20 00:00:00 +01:00
HU0023A,29.0,2013-10-21 00:00:00 +01:00
HU0023A,33.0,2013-10-22 00:00:00 +01:00
HU0023A,30.0,2013-10-23 00:00:00 +01:00
HU0023A,49.0,2013-10-24 00:00:00 +01:00
HU0023A,70.0,2013-10-25 00:00:00 +01:00
HU0023A,65.0,2013-10-26 00:00:00 +01:00
HU0023A,51.0,2013-10-27 00:00:00 +01:00
HU0023A,28.0,2013-10-28 00:00:00 +01:00
HU0023A,36.0,2013-10-29 00:00:00 +01:00
HU0023A,27.0,2013-10-30 00:00:00 +01:00
HU0023A,30.0,2013-10-31 00:00:00 +01:00
HU0023A,51.0,2013-11-01 00:00:00 +01:00
HU0023A,38.0,2013-11-02 00:00:00 +01:00
HU0023A,18.0,2013-11-03 00:00:00 +01:00
HU0023A,11.0,2013-11-04 00:00:00 +01:00
HU0023A,18.0,2013-11-05 00:00:00 +01:00
HU0023A,8.0,2013-11-06 00:00:00 +01:00
HU0023A,14.0,2013-11-07 00:00:00 +01:00
HU0023A,22.0,2013-11-08 00:00:00 +01:00
HU0023A,29.0,2013-11-09 00:00:00 +01:00
HU0023A,16.0,2013-11-10 00:00:00 +01:00
HU0023A,13.0,2013-11-11 00:00:00 +01:00
HU0023A,19.0,2013-11-12 00:00:00 +01:00
HU0023A,26.0,2013-11-13 00:00:00 +01:00
HU0023A,19.0,2013-11-14 00:00:00 +01:00
HU0023A,34.0,2013-11-15 00:00:00 +01:00
HU0023A,47.0,2013-11-16 00:00:00 +01:00
HU0023A,43.0,2013-11-17 00:00:00 +01:00
HU0023A,19.0,2013-11-18 00:00:00 +01:00
HU0023A,26.0,2013-11-19 00:00:00 +01:00
HU0023A,26.0,2013-11-20 00:00:00 +01:00
HU0023A,25.0,2013-11-21 00:00:00 +01:00
HU0023A,20.0,2013-11-22 00:00:00 +01:00
HU0023A,19.0,2013-11-23 00:00:00 +01:00
HU0023A,41.0,2013-11-24 00:00:00 +01:00
HU0023A,10.0,2013-11-25 00:00:00 +01:00
HU0023A,13.0,2013-11-26 00:00:00 +01:00
HU0023A,24.0,2013-11-27 00:00:00 +01:00
HU0023A,28.0,2013-11-28 00:00:00 +01:00
HU0023A,22.0,2013-11-29 00:00:00 +01:00
HU0023A,49.0,2013-11-30 00:00:00 +01:00
HU0023A,58.0,2013-12-01 00:00:00 +01:00
HU0023A,40.0,2013-12-02 00:00:00 +01:00
HU0023A,53.0,2013-12-03 00:00:00 +01:00
HU0023A,44.0,2013-12-04 00:00:00 +01:00
HU0023A,40.0,2013-12-05 00:00:00 +01:00
HU0023A,7.0,2013-12-06 00:00:00 +01:00
HU0023A,5.0,2013-12-07 00:00:00 +01:00
HU0023A,20.0,2013-12-08 00:00:00 +01:00
HU0023A,9.0,2013-12-09 00:00:00 +01:00
HU0023A,19.0,2013-12-10 00:00:00 +01:00
HU0023A,45.0,2013-12-11 00:00:00 +01:00
HU0023A,42.0,2013-12-12 00:00:00 +01:00
HU0023A,20.0,2013-12-13 00:00:00 +01:00
HU0023A,16.0,2013-12-14 00:00:00 +01:00
HU0023A,17.0,2013-12-15 00:00:00 +01:00
HU0023A,28.0,2013-12-16 00:00:00 +01:00
HU0023A,14.0,2013-12-17 00:00:00 +01:00
HU0023A,28.0,2013-12-18 00:00:00 +01:00
HU0023A,31.0,2013-12-19 00:00:00 +01:00
HU0023A,66.0,2013-12-20 00:00:00 +01:00
HU0023A,39.0,2013-12-21 00:00:00 +01:00
HU0023A,45.0,2013-12-22 00:00:00 +01:00
HU0023A,56.0,2013-12-23 00:00:00 +01:00
HU0023A,54.0,2013-12-24 00:00:00 +01:00
HU0023A,26.0,2013-12-25 00:00:00 +01:00
HU0023A,19.0,2013-12-26 00:00:00 +01:00
HU0023A,32.0,2013-12-27 00:00:00 +01:00
HU0023A,58.0,2013-12-28 00:00:00 +01:00
HU0023A,52.0,2013-12-29 00:00:00 +01:00
HU0023A,25.0,2013-12-30 00:00:00 +01:00
HU0023A,39.0,2013-12-31 00:00:00 +01:00
